City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,thompson,55.7435,-97.8558,-1.91,100,100,1.54,CA,1699832886
83,wickenburg,33.9686,-112.7296,21.88,21,0,3.74,US,1699833132
84,maine soroa,13.2114,12.0241,24.76,18,13,4.45,NE,1699833133
85,grytviken,-54.2811,-36.5092,3.38,89,100,1.67,GS,1699833134
86,chela,34.069,104.4619,-1.15,83,6,0.97,CN,1699833135
87,punta arenas,-53.15,-70.9167,11.06,54,75,10.29,CL,1699832871
88,aykhal,66.0,111.5,-12.7,95,100,4.31,RU,1699832872
89,cabo san lucas,22.8909,-109.9124,29.17,63,40,2.06,MX,1699832923
90,waitangi,-43.9535,-176.5597,12.63,87,57,8.6,NZ,1699833138
91,kodiak,57.79,-152.4072,4.73,56,0,2.57,US,1699833139
92,margaret river,-33.95,115.0667,17.01,79,98,7.72,AU,1699833140
93,zheshart,62.0731,49.5733,-0.85,94,100,4.42,RU,1699833141
94,chita,52.0333,113.55,-18.91,77,40,0.0,RU,1699833142
95,arari,-3.4536,-44.78,26.38,71,19,3.94,BR,1699833142
96,touros,-5.1989,-35.4608,26.58,78,0,9.46,BR,1699833047
97,kulhudhuffushi,6.6221,73.07,27.76,75,76,2.7,MV,1699833144
98,ketchikan,55.3422,-131.6461,7.99,61,0,5.14,US,1699833145
99,avarua,-21.2078,-159.775,25.03,53,100,3.09,CK,1699833146
100,carbonear,47.7332,-53.2148,-0.21,81,86,5.26,CA,1699833146
101,udachny,66.4167,112.4,-11.39,96,100,3.29,RU,1699832900
102,constantia,44.1833,28.65,7.61,49,96,2.86,RO,1699833148
103,mildura,-34.2,142.15,19.48,47,4,4.82,AU,1699833149
104,cicurug,-6.7814,106.7825,27.21,87,64,0.28,ID,1699833150
105,guane,22.2025,-84.0875,25.3,78,61,1.49,CU,1699833150
106,whitehorse,60.7161,-135.0538,-2.57,79,75,3.09,CA,1699832976
107,yellowknife,62.456,-114.3525,-7.55,97,100,8.23,CA,1699833022
108,castelnaudary,43.3183,1.9545,14.13,91,82,1.31,FR,1699833153
109,enewetak,11.3474,162.3373,26.72,88,100,8.34,MH,1699833153
110,vangaindrano,-23.35,47.6,18.38,85,2,1.55,MG,1699833154
111,andrijevica,42.7339,19.7919,6.59,97,100,0.68,ME,1699833155
112,chapaev,50.2,51.1667,5.95,61,100,7.64,KZ,1699832860
113,usinsk,65.9939,57.5281,-14.96,100,71,2.24,RU,1699833157
114,kolonia town,6.964,158.206,30.0,79,100,1.54,FM,1699833158
115,petrov val,50.1434,45.2096,10.86,92,100,8.32,RU,1699833159
116,tura,25.5198,90.2201,16.1,91,0,2.86,IN,1699833159
117,alofi,-19.0595,-169.9187,25.94,78,99,6.17,NU,1699833160
118,tosontsengel,48.7567,98.2839,-21.24,83,11,0.51,MN,1699833161
119,sebring,27.4956,-81.4409,24.88,84,75,5.14,US,1699833162
120,cassilandia,-19.1133,-51.7342,30.65,26,76,1.21,BR,1699833162
121,dunedin,-45.8742,170.5036,20.6,45,100,3.79,NZ,1699833092
122,lazaro cardenas,17.9583,-102.2,27.93,79,10,2.9,MX,1699833135
123,garachico,28.7781,-17.7646,22.49,78,100,3.6,ES,1699833165
124,hirara,24.8,125.2833,22.15,73,75,11.32,JP,1699833001
